"provider_name","provider_addloc","notes","notes_es","email","web_link","address","city","state","zip","lat","lon","last_update","updated_by","status","med_testing","med_primary_care","med_pediatrics","med_senior","med_women","med_urgent_care","med_dental","med_vision","med_pharmacy","med_mental_health","med_hotline","med_addiction","med_domestic_violence","legal_housing","legal_worker_protection","legal_healthcare","legal_immigration","legal_criminal","legal_domviolence","legal_contracts","legal_protester_defense","fin_grocery","fin_housing","fin_legal","fin_medical","fin_utilities","dv_medical","dv_mental_health","dv_housing","dv_legal","dv_crisis","dv_referrals","SNAP","WIC","public","children","homeless","uninsured","residents","immigrants","low_income","women","disabled","native_american","seniors","accepts_medical","discount_medical","must_show_id","free","sliding_scale","financial_assistance","contact","temp_closed","delivery","curbside_pickup","drive_thru","in_person","telehealth","telelegal","call_in_advance","alameda","san_francisco","contra_costa","santa_clara","san_mateo","solano","sonoma","napa","santa_cruz","san_benito","sacramento","farmers_market","meal_student","free_groceries","bob","mon","tues","wed","thr","fri","sat","sun","resource"
"Roots Community Health Center at Antioch Baptist Church","","Open to the community. Registration preferred, but not mandatory at website link","Abierto a la comunidad. Se prefiere el registro, pero no es obligatorio en el enlace del sitio web","","https://rootsclinic.org/covid-19-testing-south-bay","268 East Julian Street San Jose Santa Clara","NA","CA",95112,37.3432042,-121.8880269,"2020-08-06","JKT",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"(408) 490-4710",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","health"
"Mary Casey Black Elementary","","FREE Contactless Drive thru/walk up Grab-n-Go breakfast & lunch meal services continue to be available  FOR ALL CHILDREN 18 years and younger including ALL BUSD STUDENTS & SIBLINGS.  Multiple breakfasts and lunches will be provided at each pick up. Additional Family Produce Boxes will continue to be available. ","Los servicios GRATUITOS de desayuno y almuerzo son disponibles PARA TODOS LOS NIÑOS de 18 años o menos, incluidos TODOS LOS ESTUDIANTES Y HERMANOS DE BUSD. Se proporcionarán varios desayunos y almuerzos en cada recogida. También hay cajas de productos familiares adicionales disponibles. ","deaton@brentwood.k12.ca.us","https://brentwoodschoolmeals.com/","480 Farmington Rd","Brentwood","CA",94513,37.9484073,-121.6898015,"2020-09-26","Chris",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"(925) 513-6337",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","11:00 AM - 1:00 PM","","11:00 AM - 1:00 PM","","","","meal"
"YMCA","","Pick up in the bus lane of each school.","Recoger en el carril del autobus de cada escuela.","","http://www.schoolnutritionandfitness.com/index.php?sid=2801091649178438&page=menus&sm=9&sy=2020#clicktoscroll","351 Tres Pinos Rd","Hollister","CA",95023,36.8396371,-121.3961185,"2020-09-30","Chris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"(831) 630-6300",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"10:00 am - 7:00 pm","","","","","","","meal"
"Fremont HS","","Six days worth of meals in one pick up.","Una recogida ofrece las comidas para seis días.","","https://www.fuhsd.org/departments/food-services","575 W. Fremont Ave.","Sunnyvale","CA",94087,37.3520775,-122.0487898,"2020-09-29","Chris",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","","11:00 AM - 1:00 PM","","","","","meal"
"La Clinica Fruitvale Dental","","Temporarily closed due to COVID-19. Offer preventative dental care, general dentistry to patients of all agaes from low-income families.  Orthodontic clinic hours is 3rd Thursday: 6:00 pm - 10:00 pm. Operates on a sliding fee scale for low-income and uninsured patients. Multilingual staff (Spanish). During COVID-19, only seeing patients with dental emergency.","Centro de salud dental que ofrece atención preventiva, odontología general, a pacientes de todas las edades de familias de bajos ingresos. El horario de la clínica de ortodoncia es el 3er jueves: 6:00 pm - 10:00 pm. Opera en una escala de tarifas móvil para pacientes de bajos ingresos y sin seguro. Personal multilingüe (español). Durante COVID-19, solo se atiende a pacientes con emergencias dentales.","","https://laclinica.org/location/la-clinica-fruitvale-dental/","3050 E 16th St Oakland","NA","CA",94601,37.7801822,-122.2256853,"2020-07-22","BB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,"(510) 535-4700",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","health"
"Anti-Police Terror Project: MH First Domestic Violence Support Program","","Provides domestic violence safety planning. Closed for in-person assistance but still available for telephone help.","Proporciona planificación de seguridad de violencia doméstica. Cerrado por asistencia en persona, pero aún disponible para asistencia telefónica.","aptpsacramento@gmail.com","https://www.antipoliceterrorproject.org/mh-first","","","","","","","2020-06-08","Helynna",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"(916) 670-4062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","",""
"U.S. Social Security Administration","","","","","https://www.ssa.gov/sf/FactSheets/aianssavsssifinalrev.pdf","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","legal"
"Santa Clara Valley Medical Center","","Large hospital that provides a large range of services, including pediatrics, womens health, urgent care, pharmacy, mental health care, and many specialty services. Accepts most insurance plans, including MediCal. Low-income and uninsured patients who live in Santa Clara County can apply for Financial Assistance by calling (866) 967-4677. Languages spoken: translation offered in most languages.","Gran hospital que ofrece una amplia gama de servicios, que incluyen pediatría, salud de la mujer, atención de urgencia, farmacia, atención de salud mental y muchos servicios especializados. Acepta la mayoría de los planes de seguro, incluido MediCal. Los pacientes de bajos ingresos y sin seguro que viven en el condado de Santa Clara pueden solicitar asistencia financiera llamando al (866) 967-4677. Idiomas hablados: traducción ofrecida en la mayoría de los idiomas.","","https://www.scvmc.org/Pages/home.aspx","751 S. Bascom Ave San Jose","NA","CA",95128,37.330342,-121.933562,"2020-07-24","KM",1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,"(888) 334-1000",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","mental_health"
"AL Otro Lado: Vida Libre Bond Immigration Fund","","Fund to pay detention bonds for asylum seekers, refugees, and migrants.","","","https://alotrolado.networkforgood.com/","","","","","","","2020-06-08","Helynna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","",""
"Voices CB-Franklin McKinley","","Voices families will be provided meals through curbside pick up. Each family will be provided their student(s) name card to place on the car dashboard. Students do not need to be present to receive the meal.
Students will receive a total of 10 meals for the entire week (5 breakfast meals, 5 lunch meals). ","Las familias de Voices recibirán comidas a través de un servicio de recogida en la acera. A cada familia se le proporcionará una plaqueta con el nombre su estudiante (s) para que la coloque en el tablero del automóvil. Los estudiantes no necesitan estar presentes para recibir la comida.
Los estudiantes recibirán un total de 10 comidas durante toda la semana (5 desayunos, 5 almuerzos).","","https://voicesacademies.org/wp-content/uploads/2020/09/Franklin-McKinley-Flagship_New-20-21-LCAP-Template_Draft.pdf","715 Hellyer Ave","San Jose","CA",95111,37.2845038,-121.8204057,"2020-09-23","AF",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","","","","","","","meal"
"Vista Verde Middle School","","Summer Student Meal Service: We will reopen nutrition services on August 12th with our “grab
and go” meal service from 8:00-10:00am at ALL school sites every day of the week from MondayFriday, with exceptions only for observed holidays. Please drive by and pick up your daily meals
as we look forward to seeing you! 
","Servicio de comidas para estudiantes de verano: Reabriremos los servicios de nutrición el 12
de agosto con nuestro servicio de comidas ""grab and go"" de 8:00 a 10:00 a.m. en TODAS las
escuelas todos los días de la semana de lunes a viernes, con excepciones sólo para los días
festivos observados. Por favor, pasen por aquí y recojan sus comidas diarias ya que esperamos
verlos","jhull@montereycoe.org","https://a4b724d7-80c7-4a73-bd69-282945aab74a.filesusr.com/ugd/a54334_83bc46e4c9ee475a8dca340de9a58dcb.pdf","1199 Elm Avenue","Greenfield","CA",93927,36.313564,-121.248298,"2020-09-23","Chris",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"8:00 AM - 10:00 AM","8:00 AM - 10:00 AM","8:00 AM - 10:00 AM","8:00 AM - 10:00 AM","8:00 AM - 10:00 AM","","","meal"
"ZZoul Cafe","","Instagram: @zzoulcafesf.","","","https://zzoulcafe.com/","295 Eddy St San Francisco","NA","CA",94102,37.7838287,-122.4123537,"2020-07-07","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"10:30 AM -  9:30 pm","10:30 AM -  9:30 pm","10:30 AM -  9:30 pm","10:30 AM -  9:30 pm","10:30 AM -  9:30 pm","10:30 AM -  9:30 pm","","restaurant"
"Grace Bible Fellowship",""," Children do not have to be enrolled in AUSD to participate. Parents and guardians may pick up for their children.","Los niños no tienen que estar inscritos en AUSD para participar. Los padres y tutores pueden recoger las comidas para sus hijos.","StephanieAnello@antiochschools.net","https://www.antiochschools.net/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=47&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=32861&PageID=1","3415 Oakley Road","Antioch","CA",94509,37.9978667,-121.7561894,"2020-09-29","Charlie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"10:00 AM - 12:00 PM","10:00 AM - 12:00 PM","10:00 AM - 12:00 PM","10:00 AM - 12:00 PM","10:00 AM - 12:00 PM","","","meal"
"Piedmont Middle School","","Students will receive two lunches on each distribution day (MWF).

Pickup occurs in the parking lot of each school.","Los estudiantes recibirán dos almuerzos en cada día de distribución (LMV). La recogida ocurre en el estacionamiento de cada escuela.","","https://www.facebook.com/BerryessaUnionSchoolDistrict/posts/1680687738760935","955 Piedmont Rd.","San Jose","CA",95132,37.3923542,-121.8456397,"2020-09-29","Charlie",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"408-923-1875",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"11:30 AM - 1:00 PM","","11:30 AM - 1:00 PM","","11:30 AM - 1:00 PM","","","meal"
"Kendejah Restaurant","","Instagram: @kendejah_ca.","","","http://kendejahrestaurant.com/","197 Pelton Center Way","NA","CA",94577,37.722619,-122.154691,"2020-07-07","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"11:45 AM -  10:00 pm","11:45 AM -  10:00 pm","11:45 AM -  10:00 pm","11:45 AM -  10:00 pm","11:45 AM -  10:00 pm","11:45 AM -  10:00 pm","11:45 AM -  10:00 pm","restaurant"
"Women's Therapy Center","","Sliding scale therapy starting at $40.","Terapia se ofrece por escala móvil, empezando con $40 dolares.","","http://womenstherapy.org/","2105 Martin Luther King Jr Way Berkeley","NA","CA",94704,"","","2020-07-19","AG",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"(510) 524-8288",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8:00am - 9:00pm","8:00am - 9:00pm","8:00am - 9:00pm","8:00am - 9:00pm","8:00am - 9:00pm","8:00am - 9:00pm","","dv_resources"
"Bear Creek High","","*Lodi USD students do not need to be present but a postcard (coming soon in the mail) with bar code must be brought for each child for every pickup.","* Los estudiantes de Lodi USD no necesitan estar presentes, pero deben traer a cada recogida de comidas una tarjeta postal (lo cual llegará próximamente por correo) con un código de barras para cada niño. ","","http://www.schoolnutritionandfitness.com/index.php?sid=2904102048414688&page=menus","10555 Thornton Rd","Stockton","CA",95209,38.0518765,-121.3513459,"2020-09-29","Charlie",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"10:30 AM - 1:00 PM","","10:30 AM - 1:00 PM","","10:30 AM - 1:00 PM","","","meal"
"St. Paul of the Shipwreck","","Services will vary at each site, and may include meals such as cereal and muffins for breakfast; sandwiches and pupusas for lunch; pizza and burritos for supper; fresh fruit, vegetables and milk.

No identification or proof of school enrollment is required. Adults can pick up meals for children without a child present. Shelf-stable meals will also be available. Families will not need to enter the building for pick-up.","","","","1122 Jamestown Ave","San Francisco","CA",94134,37.7203061,-122.3969449,"2020-09-16","Charlie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"(415) 749-3604",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","","","","","","","meal"
"Bolinas-Stinson","","Lunches are available for pick-up Monday-Friday. Please let us know if you would like to pick up a school lunch for your child(ren) who are 18 and under, during the summer. Please call or TEXT 415-450-7324 or email Kara Perras at karap@bolinas-stinson.org with the number of lunches you will need for your children.","","karap@bolinas-stinson.org","https://www.bolinas-stinson.org/","125 Olema-Bolinas Road Bolinas","Bolinas","CA",94924,37.9191555,-122.6931892,"2020-09-23","Chris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"(415) 450-7324",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"12:00 PM - 1:00 PM","12:00 PM - 1:00 PM","12:00 PM - 1:00 PM","12:00 PM - 1:00 PM","12:00 PM - 1:00 PM","","","meal"
